АБСОРБИРОВАТЬ	["115221-V", "115222-V"]
АВТОКЛАВИРОВАТЬ	["137819-V", "4688-V", "9880-V"]
АВТОМОБИЛЬ СБИЛ	["115804-V", "117015-V", "147427-V"]
АВТОМОБИЛЬ СБИЛ	["113769-V", "127172-V"]
АГИТИРОВАТЬ	["106972-V", "116816-V"]
АГИТИРОВАТЬ	["106542-V", "119127-V", "1885-V"]
АГИТИРОВАТЬ	["106501-V"]
АДАПТИРОВАТЬ	["106629-V", "106631-V", "120394-V"]
АДРЕСОВАТЬ	["107008-V", "119751-V"]
АДРЕСОВАТЬ	["114501-V", "115645-V"]
АДРЕСОВАТЬСЯ	["107008-V", "119751-V"]
АДРЕСОВАТЬСЯ	["114501-V", "115645-V"]
АККУМУЛИРОВАТЬ	["112077-V", "116549-V"]
АМНИСТИРОВАТЬ	["115444-V", "120034-V"]
АМНИСТИРОВАТЬ	["117915-V", "135001-V"]
АМОРТИЗИРОВАТЬ	["106638-V", "110894-V"]
АМОРТИЗИРОВАТЬ	["111493-V", "118894-V"]
АМОРТИЗИРОВАТЬ ИМУЩЕСТВО	["106638-V", "110894-V"]
АМПУТИРОВАТЬ	["5390-V"]
АМПУТИРОВАТЬ	["107417-V", "110832-V"]
АНАЛИЗИРОВАТЬ ДАННЫЕ	["106686-V", "106897-V", "106898-V"]
АНАЛИЗИРОВАТЬ ДАННЫЕ	["106534-V", "145152-V"]
АНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ	["106686-V", "106897-V", "106898-V"]
АНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ	["106534-V", "145152-V"]
АНАТОМИРОВАТЬ	["107412-V", "125757-V"]
АНГАЖИРОВАТЬ	["115487-V", "136808-V"]
АНГАЖИРОВАТЬ	["106818-V", "137297-V"]
АНГАЖИРОВАТЬ НА ТАНЕЦ	["106818-V", "137297-V"]
АНКЕТИРОВАТЬ	["107256-V", "112077-V", "124530-V"]
АННЕКСИРОВАТЬ	["111668-V", "114372-V", "115072-V", "115075-V", "118698-V", "122242-V"]
АННЕКСИРОВАТЬ	["113962-V", "116663-V"]
АННЕКСИРОВАТЬ	["107328-V", "118966-V", "148420-V"]
АППРОКСИМИРОВАТЬ	["106886-V", "114457-V"]
АРЕНДОВАТЬ ЖИЛОЕ ПОМЕЩЕНИЕ	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
АРЕНДОВАТЬ ЖИЛУЮ ПЛОЩАДЬ	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
АРЕНДОВАТЬ ЖИЛЬЕ	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
АРЕНДОВАТЬ КВАРТИРУ	["118698-V", "140941-V", "141117-V", "144027-V", "148420-V"]
АРКАНИТЬ	["115593-V", "121173-V"]
АРМИРОВАТЬ	["106631-V", "135467-V"]
АРМИРОВАТЬ	["106698-V", "111189-V"]
АРМИРОВАТЬ	["106501-V"]
АРТАЧИТЬСЯ	["106702-V", "119293-V"]
АРТАЧИТЬСЯ	["106882-V", "114426-V", "120576-V"]
АРХИВИРОВАТЬ	["106819-V", "115759-V"]
АРХИВИРОВАТЬ ФАЙЛ	["106819-V", "115759-V"]
АССИМИЛИРОВАТЬ	["115221-V", "115222-V"]
АССИМИЛИРОВАТЬСЯ	["115221-V", "115222-V"]
