SYNSET_ID	TEXT	PARENTS	PARENT_TEXTS
3722-V	СНАБЖАТЬ ГОРЯЧЕЙ ВОДОЙ	['106501-V', '5077-V']	['ПОДЕЛАТЬ', 'ТЕПЛОФИЦИРОВАТЬ, ОБЕСПЕЧИТЬ ТЕПЛОМ, СНАБЖАТЬ ТЕПЛОМ, ОБЕСПЕЧИВАТЬ ТЕПЛОМ']
3722-V	СНАБЖАТЬ ГОРЯЧЕЙ ВОДОЙ	['112144-V', '489-V']	['ОБЕСПЕЧИТЬ, ОБЕСПЕЧИВАТЬ, СНАБЖАТЬ, СНАБДИТЬ, ОБЕСПЕЧИВАТЬСЯ', 'СНАБДИТЬ ВОДОЙ, ОБЕСПЕЧИВАТЬ ВОДОЙ, ОБЕСПЕЧИТЬ ВОДОЙ, ПОДАВАТЬ ВОДУ, ПОДАТЬ ВОДУ, СНАБЖАТЬ ВОДОЙ']
9092-V	ОБВОДНЯТЬ, ОБВОДНИТЬ	['112144-V', '489-V']	['ОБЕСПЕЧИТЬ, ОБЕСПЕЧИВАТЬ, СНАБЖАТЬ, СНАБДИТЬ, ОБЕСПЕЧИВАТЬСЯ', 'СНАБДИТЬ ВОДОЙ, ОБЕСПЕЧИВАТЬ ВОДОЙ, ОБЕСПЕЧИТЬ ВОДОЙ, ПОДАВАТЬ ВОДУ, ПОДАТЬ ВОДУ, СНАБЖАТЬ ВОДОЙ']
8947-V	НАПЕЧАТАТЬ ОФСЕТНЫМ СПОСОБОМ, ПЕЧАТАТЬ ОФСЕТНЫМ СПОСОБОМ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
9531-V	ПЕРЕПЛЕТАТЬ, ПЕРЕПЛЕСТИ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
9531-V	ПЕРЕПЛЕТАТЬ, ПЕРЕПЛЕСТИ	['106529-V', '7064-V', '106501-V']	['ОБСЛУЖИВАТЬ, ОБСЛУЖИТЬ', 'ОКАЗЫВАТЬ УСЛУГИ, ПРЕДОСТАВЛЯТЬ УСЛУГИ', 'ПОДЕЛАТЬ']
113521-V	НАБРАТЬ, НАБИРАТЬ, НАБИРАТЬ ТЕКСТ, НАБРАТЬ ТЕКСТ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
113521-V	НАБРАТЬ, НАБИРАТЬ, НАБИРАТЬ ТЕКСТ, НАБРАТЬ ТЕКСТ	['112078-V', '112077-V']	['СОСТАВИТЬ, АРАНЖИРОВАТЬ, СОСТАВЛЯТЬСЯ, СОСТАВЛЯТЬ', 'НАСОБИРАТЬ, ПОДСОБРАТЬ, ПОСОБИРАТЬ, СОБИРАТЬ, СОБИРАТЬ В ОДНОМ МЕСТЕ, СОБРАТЬ, СОБРАТЬ В ОДНОМ МЕСТЕ']
123596-V	НАВЕРСТАТЬ, СВЕРСТЫВАТЬСЯ, ВЕРСТАТЬ, СВЕРСТАТЬ, ЗАВЕРСТАТЬ, СВЕРСТЫВАТЬ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
123596-V	НАВЕРСТАТЬ, СВЕРСТЫВАТЬСЯ, ВЕРСТАТЬ, СВЕРСТАТЬ, ЗАВЕРСТАТЬ, СВЕРСТЫВАТЬ	['106585-V', '106698-V']	['РАСПОЛОЖИТЬ, РАСПРЕДЕЛИТЬСЯ, РАСПРЕДЕЛИТЬ, РАСПРЕДЕЛЯТЬ, РАСПРЕДЕЛЯТЬСЯ, РАЗМЕЩАТЬ, РАЗМЕСТИТЬ, РАСПОЛАГАТЬ', 'ВОДВОРЯТЬ, НАЙТИ МЕСТО, ВОДВОРИТЬ, ПОМЕСТИТЬ, ПОМЕЩАТЬ']
