SYNSET_ID	TEXT	PARENTS	DEFINITION
9092-V	ОБВОДНЯТЬ,ОБВОДНИТЬ	489-V,112144-V	
9531-V	ПЕРЕПЛЕТАТЬ,ПЕРЕПЛЕСТИ	114108-V,114107-V,110447-V	
9531-V	ПЕРЕПЛЕТАТЬ,ПЕРЕПЛЕСТИ	7064-V,106501-V,106529-V	
9531-V	ПЕРЕПЛЕТАТЬ,ПЕРЕПЛЕСТИ	106501-V	
113521-V	НАБРАТЬ,НАБИРАТЬ	114108-V,114107-V,110447-V	составлять из типографских литер какой-либо текст для напечатания
113521-V	НАБРАТЬ,НАБИРАТЬ	112078-V,112077-V	составлять из типографских литер какой-либо текст для напечатания
123596-V	НАВЕРСТАТЬ,СВЕРСТЫВАТЬСЯ,ВЕРСТАТЬ,СВЕРСТАТЬ,ЗАВЕРСТАТЬ,СВЕРСТЫВАТЬ	114108-V,114107-V,110447-V	
123596-V	НАВЕРСТАТЬ,СВЕРСТЫВАТЬСЯ,ВЕРСТАТЬ,СВЕРСТАТЬ,ЗАВЕРСТАТЬ,СВЕРСТЫВАТЬ	106585-V,106698-V	
135119-V	ТИРАЖИРОВАТЬ,РАСТИРАЖИРОВАТЬ	114108-V,114107-V,110447-V	создание большого числа копий чего-либо; размножение чего-либо в большом количестве
135119-V	ТИРАЖИРОВАТЬ,РАСТИРАЖИРОВАТЬ	114107-V,106640-V	создание большого числа копий чего-либо; размножение чего-либо в большом количестве
116350-V	РАСПЕЧАТАТЬ,РАСПЕЧАТЫВАТЬ,РАСПЕЧАТЫВАТЬСЯ	114108-V,114107-V,110447-V	
116617-V	ПЕРЕПЕЧАТЫВАТЬ,ПЕРЕПЕЧАТАТЬ	114108-V,114107-V,110447-V	
116617-V	ПЕРЕПЕЧАТЫВАТЬ,ПЕРЕПЕЧАТАТЬ	144051-V,1359-V	
154207-V	ПЕРЕПЕЧАТАТЬ,ПЕРЕПЕЧАТЫВАТЬ	114108-V,114107-V,110447-V	
154207-V	ПЕРЕПЕЧАТАТЬ,ПЕРЕПЕЧАТЫВАТЬ	111619-V,110447-V	
118634-V	ПРИДУМЫВАТЬ,НАПРИДУМЫВАТЬ,НАСОЧИНЯТЬ,НАДУМЫВАТЬ,ИЗМЫШЛЯТЬ,ИЗМЫСЛИТЬ,ДОСОЧИНЯТЬ,НАФАНТАЗИРОВАТЬ,ПРИДУМАТЬ,НАПРИДУМАТЬ,ПРИМЫСЛИТЬ,ПРИМЫШЛЯТЬ,СОЧИНИТЬ,СОЧИНЯТЬ,ВЫМЫСЛИТЬ,ФАНТАЗИРОВАТЬ,ВЫДУМЫВАТЬ,ВЫДУМАТЬ	118572-V,107199-V	сочинить, выдумать, создать образ или сюжет, не основанный непосредственно на действительных фактах.
118634-V	ПРИДУМЫВАТЬ,НАПРИДУМЫВАТЬ,НАСОЧИНЯТЬ,НАДУМЫВАТЬ,ИЗМЫШЛЯТЬ,ИЗМЫСЛИТЬ,ДОСОЧИНЯТЬ,НАФАНТАЗИРОВАТЬ,ПРИДУМАТЬ,НАПРИДУМАТЬ,ПРИМЫСЛИТЬ,ПРИМЫШЛЯТЬ,СОЧИНИТЬ,СОЧИНЯТЬ,ВЫМЫСЛИТЬ,ФАНТАЗИРОВАТЬ,ВЫДУМЫВАТЬ,ВЫДУМАТЬ	111983-V,111668-V	сочинить, выдумать, создать образ или сюжет, не основанный непосредственно на действительных фактах.
124595-V	ПЕРЕТРЯСАТЬ,ПЕРЕТРЯСТИ,ПЕРЕТРЯХИВАТЬ,ПЕРЕТРЯХНУТЬ	116221-V,111656-V,111021-V	
124595-V	ПЕРЕТРЯСАТЬ,ПЕРЕТРЯСТИ,ПЕРЕТРЯХИВАТЬ,ПЕРЕТРЯХНУТЬ	115544-V,111144-V	
136971-V	РАСПОТРОШИТЬ,ВЫПОТРОШИТЬ,ПОТРОШИТЬ	116221-V,111656-V,111021-V	
136971-V	РАСПОТРОШИТЬ,ВЫПОТРОШИТЬ,ПОТРОШИТЬ	110752-V,110908-V	
136971-V	РАСПОТРОШИТЬ,ВЫПОТРОШИТЬ,ПОТРОШИТЬ	110910-V,110908-V	
136971-V	РАСПОТРОШИТЬ,ВЫПОТРОШИТЬ,ПОТРОШИТЬ	119076-V,118698-V	
4340-V	ДРЕНАЖИРОВАТЬ,ДРЕНИРОВАТЬ	3844-V,253-V	отвод от сооружений подземных вод, осушение почвы с помощью системы дрен
4340-V	ДРЕНАЖИРОВАТЬ,ДРЕНИРОВАТЬ	121004-V,106631-V	отвод от сооружений подземных вод, осушение почвы с помощью системы дрен
116657-V	ВТЕРЕТЬСЯ,ВТИРАТЬСЯ	115965-V,113962-V,144632-V	
119109-V	ВЪЕСТЬСЯ,ВЪЕДАТЬСЯ	115965-V,113962-V,144632-V	
123373-V	ВСОСАТЬСЯ,ВСАСЫВАТЬСЯ	115965-V,113962-V,144632-V	
119373-V	ПРОРЫВАТЬСЯ,ПРОРЫВАТЬ,ПРОРВАТЬСЯ,ПРОРВАТЬ,ПРОБИТЬСЯ,ПРОБИВАТЬСЯ	117932-V,115522-V,111845-V	
119373-V	ПРОРЫВАТЬСЯ,ПРОРЫВАТЬ,ПРОРВАТЬСЯ,ПРОРВАТЬ,ПРОБИТЬСЯ,ПРОБИВАТЬСЯ	126274-V,115524-V,107470-V	
119373-V	ПРОРЫВАТЬСЯ,ПРОРЫВАТЬ,ПРОРВАТЬСЯ,ПРОРВАТЬ,ПРОБИТЬСЯ,ПРОБИВАТЬСЯ	115522-V	
139436-V	ПРОСОЧИТЬСЯ,ПРОСАЧИВАТЬСЯ	117932-V,115522-V,111845-V	о людях: попадать, проникать куда-либо
116172-V	СНЕСТИСЬ,СНЕСТИ,НЕСТИСЬ	116173-V,116100-V	
115601-V	САДНИТЬ,СВЕРБЕТЬ	120185-V,106915-V	чесаться, зудеть
120186-V	ЩЕКОТАТЬ	120185-V,106915-V	
140767-V	ЗАЧЕСАТЬСЯ,ЧЕСАТЬСЯ	120185-V,106915-V	
128332-V	УШИТЬ,УШИВАТЬ	127237-V,106638-V	
128332-V	УШИТЬ,УШИВАТЬ	116817-V,110801-V	
117873-V	СВОДИТЬ,ПЕРЕВОДИТЬ,ПЕРЕВЕСТИ,СВЕСТИ	111627-V,111626-V,111619-V	копировать изображение, обводя, перечерчивая его детали
117873-V	СВОДИТЬ,ПЕРЕВОДИТЬ,ПЕРЕВЕСТИ,СВЕСТИ	111619-V,110447-V	копировать изображение, обводя, перечерчивая его детали
117873-V	СВОДИТЬ,ПЕРЕВОДИТЬ,ПЕРЕВЕСТИ,СВЕСТИ	111623-V,107005-V,111619-V	копировать изображение, обводя, перечерчивая его детали
131926-V	КОДИФИЦИРОВАТЬ	120139-V,107129-V,118456-V	
131926-V	КОДИФИЦИРОВАТЬ	118746-V,148396-V	
146641-V	ЗАХЕДЖИРОВАТЬ,ХЕДЖИРОВАТЬ	140492-V,110437-V,111437-V	
146641-V	ЗАХЕДЖИРОВАТЬ,ХЕДЖИРОВАТЬ	150985-V,126259-V	
146641-V	ЗАХЕДЖИРОВАТЬ,ХЕДЖИРОВАТЬ	118698-V	
146641-V	ЗАХЕДЖИРОВАТЬ,ХЕДЖИРОВАТЬ	148420-V,144027-V	
147550-V	ЭКРАНИРОВАТЬ	140492-V,110437-V,111437-V	защита от электромагнитных и прочих воздействий с помощью отражающего или поглощающего материала
133661-V	МИГАТЬ,ПОДМИГИВАТЬ,ПОДМИГНУТЬ,ПОДМОРГНУТЬ,МИГНУТЬ,ПОДМАРГИВАТЬ	118639-V,119502-V,106587-V	
133661-V	МИГАТЬ,ПОДМИГИВАТЬ,ПОДМИГНУТЬ,ПОДМОРГНУТЬ,МИГНУТЬ,ПОДМАРГИВАТЬ	117094-V,106938-V	
5619-V	ДЕЗЕРТИРОВАТЬ	647-V,107592-V	
5619-V	ДЕЗЕРТИРОВАТЬ	111281-V,111260-V,107318-V,117315-V	
114904-V	ПОДПАЛИТЬ,ПОДЖЕЧЬ,ПОДПАЛИВАТЬ,ПОДЖИГАТЬ	647-V,107592-V	приблизив огонь к чему-либо, заставить гореть, вызвать горение
114904-V	ПОДПАЛИТЬ,ПОДЖЕЧЬ,ПОДПАЛИВАТЬ,ПОДЖИГАТЬ	111794-V,106817-V	приблизив огонь к чему-либо, заставить гореть, вызвать горение
129442-V	ПИРАТСТВОВАТЬ	647-V,107592-V	нарушать авторские права, незаконно используя чужую интеллектуальную собственность
129442-V	ПИРАТСТВОВАТЬ	107592-V,122242-V,111260-V	нарушать авторские права, незаконно используя чужую интеллектуальную собственность
129442-V	ПИРАТСТВОВАТЬ	106501-V	нарушать авторские права, незаконно используя чужую интеллектуальную собственность
129442-V	ПИРАТСТВОВАТЬ	5893-V,647-V,122242-V	нарушать авторские права, незаконно используя чужую интеллектуальную собственность
129442-V	ПИРАТСТВОВАТЬ	112045-V,112046-V,106495-V,111619-V	нарушать авторские права, незаконно используя чужую интеллектуальную собственность
8880-V	ПИРАТСТВОВАТЬ	647-V,107592-V	
8880-V	ПИРАТСТВОВАТЬ	151440-V,647-V	
8880-V	ПИРАТСТВОВАТЬ	5296-V,647-V,111394-V,113766-V,4131-V	
8880-V	ПИРАТСТВОВАТЬ	115072-V,115075-V,114372-V	
7320-V	ШПИОНИТЬ	647-V,107592-V	преступная деятельность, состоящая в секретном собирании сведений или похищении материалов, составляющих государственную тайну, с целью передачи их другому государству
7320-V	ШПИОНИТЬ	111394-V,111260-V	преступная деятельность, состоящая в секретном собирании сведений или похищении материалов, составляющих государственную тайну, с целью передачи их другому государству
7320-V	ШПИОНИТЬ	2602-V,142340-V,106501-V	преступная деятельность, состоящая в секретном собирании сведений или похищении материалов, составляющих государственную тайну, с целью передачи их другому государству
4522-V	ПОДМАЗАТЬ,ПОДМАЗЫВАТЬ	647-V,107592-V	дать взятку
4522-V	ПОДМАЗАТЬ,ПОДМАЗЫВАТЬ	660-V,647-V	дать взятку
4522-V	ПОДМАЗАТЬ,ПОДМАЗЫВАТЬ	116296-V,116303-V	дать взятку
4522-V	ПОДМАЗАТЬ,ПОДМАЗЫВАТЬ	142493-V,106935-V,106818-V	дать взятку
146638-V	ПРОГУЛИВАТЬ,ПРОКУТИТЬ,ПРОГУЛЯТЬ	117172-V,117605-V,117589-V	истратить деньги на развлечения
112412-V	ЗАКРУГЛИТЬ,ЗАКРУГЛЯТЬ,СКРУГЛИТЬ	123558-V,106558-V	
3833-V	ДЕПОРТИРОВАТЬ	137167-V,115247-V,112933-V	насильственное переселение групп населения или даже целых народов с их этнической родины или территории длительного проживания
3833-V	ДЕПОРТИРОВАТЬ	115247-V,112548-V,111260-V	насильственное переселение групп населения или даже целых народов с их этнической родины или территории длительного проживания
3833-V	ДЕПОРТИРОВАТЬ	112933-V,106504-V	насильственное переселение групп населения или даже целых народов с их этнической родины или территории длительного проживания
125161-V	БАРРАЖИРОВАТЬ	3977-V,106597-V,118780-V	
133045-V	ОБЛИЧАТЬ,ОБЛИЧИТЬ	120088-V,120087-V	
133045-V	ОБЛИЧАТЬ,ОБЛИЧИТЬ	112963-V,106877-V	
138579-V	ВЫДАВАТЬ,ЗАКЛАДЫВАТЬ,ВЫДАТЬ,ЗАЛОЖИТЬ	120088-V,120087-V	делать донос, предавать
138579-V	ВЫДАВАТЬ,ЗАКЛАДЫВАТЬ,ВЫДАТЬ,ЗАЛОЖИТЬ	111281-V,111260-V,107318-V,117315-V	делать донос, предавать
6558-V	РАЗВЕСТИСЬ,РАЗВОДИТЬСЯ	145354-V,106531-V	
6558-V	РАЗВЕСТИСЬ,РАЗВОДИТЬСЯ	106504-V,118698-V	
6558-V	РАЗВЕСТИСЬ,РАЗВОДИТЬСЯ	114690-V,106531-V,149403-V,106484-V	
6558-V	РАЗВЕСТИСЬ,РАЗВОДИТЬСЯ	149129-V,114690-V	
